yil;Il;toplam;"Hastalık
Illness";"Aile
geçimsizliği
Family
incompatibility";"Geçim
zorluğu
Economic
problems";"Ticari
başarısızlık
Business
failure";"Hissi0ilişki0ve
istediği0ile0evlenememe
Emotional0relationship
and0not0marrying
the0person0wanted";"Öğrenim
başarısızlığı
Educational
failure";"Diğer
Other";"Bilinmeyen
Unknown";;;;;;;;;
2023;Gaziantep;86;33;3;3;0;4;0;30;13;;;;;;;;;
2023;Giresun;19;8;1;1;0;1;0;5;3;;;;;;;;;
2023;Gümüşhane;5;0;0;0;0;0;0;1;4;;;;;;;;;
2023;Hakkari;24;5;0;1;0;0;0;6;12;;;;;;;;;
2023;Hatay;38;9;0;4;0;1;0;8;16;;;;;;;;;
2023;Isparta;28;9;2;1;0;0;0;7;9;;;;;;;;;
2023;Mersin;127;43;4;8;0;1;0;35;36;;;;;;;;;
2023;İstanbul;563;171;17;45;2;15;1;291;21;;;;;;;;;
2023;İzmir;240;59;8;10;0;12;1;79;71;;;;;;;;;
2023;Kars;19;4;0;2;0;0;0;4;9;;;;;;;;;
2023;Kastamonu;22;5;0;1;0;0;0;7;9;;;;;;;;;
2023;Kayseri;102;28;1;6;0;0;0;33;34;;;;;;;;;
2023;Kırklareli;22;5;1;1;0;0;0;5;10;;;;;;;;;
2023;Kırşehir;18;6;1;0;0;1;0;7;3;;;;;;;;;
2023;Kocaeli;91;21;3;4;0;5;0;34;24;;;;;;;;;
2023;Konya;142;29;13;10;1;4;0;34;51;;;;;;;;;
2023;Kütahya;24;8;1;1;0;0;0;3;11;;;;;;;;;
2023;Malatya;34;6;3;4;0;1;0;5;15;;;;;;;;;
2023;Manisa;88;20;4;10;1;1;0;21;31;;;;;;;;;
2023;Kahramanmaraş;51;8;6;3;0;0;0;9;25;;;;;;;;;
2023;Mardin;27;6;1;2;0;1;0;7;10;;;;;;;;;
2023;Muğla;76;11;2;3;0;2;0;16;42;;;;;;;;;
2023;Muş;22;1;1;0;0;0;0;3;17;;;;;;;;;
2023;Nevşehir;20;4;0;3;0;2;0;5;6;;;;;;;;;
2023;Niğde;14;2;2;2;0;0;0;5;3;;;;;;;;;
2023;Ordu;39;6;1;3;0;0;0;12;17;;;;;;;;;
2023;Rize;11;3;0;0;0;1;0;2;5;;;;;;;;;
2023;Sakarya;33;8;3;4;0;2;0;8;8;;;;;;;;;
2023;Samsun;70;15;3;6;0;3;0;16;27;;;;;;;;;
2023;Siirt;11;3;0;0;0;0;0;3;5;;;;;;;;;
2023;Sinop;13;2;0;1;0;0;0;6;4;;;;;;;;;
2023;Sivas;33;8;2;1;0;0;0;10;12;;;;;;;;;
2023;Tekirdağ;67;17;3;3;0;2;0;20;22;;;;;;;;;
2023;Tokat;24;5;3;1;0;0;0;6;9;;;;;;;;;
2023;Trabzon;21;6;0;0;0;2;0;4;9;;;;;;;;;
2023;Tunceli;4;1;0;0;0;0;0;0;3;;;;;;;;;
2023;Şanlıurfa;71;21;2;4;0;1;0;23;20;;;;;;;;;
2023;Uşak;22;5;1;1;0;0;0;3;12;;;;;;;;;
2023;Van;51;13;8;2;0;0;0;15;13;;;;;;;;;
2023;Yozgat;23;5;1;2;0;0;1;3;11;;;;;;;;;
2023;Zonguldak;27;7;0;2;0;1;0;1;16;;;;;;;;;
2023;Aksaray;23;1;0;2;0;1;0;5;14;;;;;;;;;
2023;Bayburt;2;1;0;0;0;0;0;0;1;;;;;;;;;
2023;Karaman;16;6;1;1;0;0;0;2;6;;;;;;;;;
2023;Kırıkkale;21;3;1;4;0;1;0;2;10;;;;;;;;;
2023;Batman;27;7;1;0;0;0;0;9;10;;;;;;;;;
2023;Şırnak;18;5;2;3;0;2;0;2;4;;;;;;;;;
2023;Bartın0;13;2;1;1;0;0;0;3;6;;;;;;;;;
2023;Ardahan;8;2;1;0;0;0;0;2;3;;;;;;;;;
2023;Iğdır;10;2;0;4;0;1;0;2;1;;;;;;;;;
2023;Yalova;12;2;1;1;0;1;0;4;3;;;;;;;;;
2023;Karabük;10;6;0;1;0;0;0;1;2;;;;;;;;;
2023;Kilis0;3;1;0;1;0;0;0;1;0;;;;;;;;;
2023;Osmaniye;30;4;2;1;1;2;0;8;12;;;;;;;;;
2023;Düzce;8;2;2;2;0;1;0;0;1;;;;;;;;;
2022;Türkiye;4218;1110;187;300;5;109;12;1299;1196;;;;;;;;;
2022;Adana;132;45;2;14;0;4;0;34;33;;;;;;;;;
2022;Adıyaman;40;14;1;2;0;2;0;10;11;;;;;;;;;
