"Yil
Year";"Il
Province";"Toplam
Total";Yas grubu Age group;;;;;;;;;;;;;;;
2023;Bolu;  15;  1;  3;  4;0;0;0;  2;  1;  1;0;  1;  1;0;  1;;
2023;Burdur;  19;  1;  1;  2;  2;  2;  1;0;  2;0;  1;0;  4;  1;  2;;
2023;Bursa;  142;  3;  1;  14;  20;  15;  18;  17;  8;  11;  10;  8;  8;  3;  6;;
2023;canakkale;  38;0;  4;  2;  3;  3;  2;  4;  5;  3;  1;  2;  3;  3;  3;;
2023;cankiri;  7;0;0;  1;  1;  1;0;  1;  1;0;0;  1;0;0;  1;;
2023;corum;  29;  1;  1;  5;  7;  3;  1;0;  1;  2;  1;  2;0;  2;  3;;
2023;Denizli;  76;  1;  5;  12;  7;  10;  8;  5;  7;  4;  4;  6;  2;  3;  2;;
2023;Diyarbakir;  95;  2;  17;  20;  17;  13;  5;  7;  4;  3;  1;  1;  2;0;  3;;
2023;Edirne;  35;0;  5;  4;0;  6;  3;  2;  1;  2;  3;  3;  2;  3;  1;;
2023;Elazig;  17;0;  1;  4;  2;  1;  3;  1;  1;0;0;0;  1;  1;  2;;
2023;Erzincan;  17;0;  1;  3;  1;  3;  1;  1;  2;  1;  1;  1;0;0;  2;;
2023;Erzurum;  25;  1;  2;  2;  5;  2;  3;0;  2;  2;  1;0;  1;  3;  1;;
2023;Eskişehir;  44;0;  5;  7;  3;  1;  7;  6;  1;  4;  2;  4;  3;0;  1;;
2023;Gaziantep;  86;  5;  18;  17;  12;  7;  7;  5;  4;  3;  2;  2;  2;  1;  1;;
2023;Giresun;  19;  2;  1;  2;  1;  1;0;  3;  2;  1;  2;  3;  1;0;0;;
2023;Gumuşhane;  5;0;  1;  2;0;0;  1;0;0;0;  1;0;0;0;0;;
2023;Hakkari;  24;0;  4;  8;  5;  4;  1;0;0;0;0;0;0;0;  2;;
2023;Hatay;  38;0;  4;  1;  5;  6;  5;  3;  4;0;  2;  2;  3;0;  3;;
2023;isparta;  28;0;  1;  6;  5;  3;  4;  1;  3;0;  1;  1;  1;  1;  1;;
2023;Mersin;  127;  2;  18;  19;  17;  8;  8;  12;  12;  5;  6;  1;  6;  4;  9;;
2023;İstanbul;  563;  7;  38;  81;  82;  67;  65;  62;  42;  31;  27;  14;  14;  10;  23;;
2023;İzmir;  240;  3;  17;  26;  37;  21;  34;  26;  18;  9;  14;  13;  3;  8;  11;;
2023;Kars;  19;0;  3;  5;0;  2;  3;  2;0;  1;  2;0;  1;0;0;;
2023;Kastamonu;  22;0;  2;  1;0;  3;  1;  3;  4;  1;  3;0;0;  3;  1;;
2023;Kayseri;  102;  5;  16;  13;  11;  15;  9;  11;  6;  1;  4;  1;  6;  2;  2;;
2023;Kirklareli;  22;0;  3;0;  3;  1;  3;  2;  3;  1;  2;  1;  1;0;  2;;
2023;Kirşehir;  18;0;  2;0;  3;  3;  2;0;  2;0;  2;0;  1;  2;  1;;
2023;Kocaeli;  91;  1;  8;  9;  14;  8;  12;  11;  5;  2;  2;  7;  7;  1;  4;;
2023;Konya;  142;  8;  24;  15;  23;  17;  12;  10;  5;  7;  3;  5;  3;  4;  6;;
2023;Kutahya;  24;0;0;  6;  3;  1;  3;  1;  3;  1;  3;  2;0;  1;0;;
2023;Malatya;  34;0;  4;  3;  5;  5;  2;  2;  1;  4;  4;  3;  1;0;0;;
2023;Manisa;  88;  2;  4;  8;  8;  8;  9;  9;  5;  12;  5;  8;  4;  2;  4;;
2023;Kahramanmaraş;  51;0;  7;  7;  6;  5;  5;  8;  2;  3;  2;  1;0;  1;  4;;
2023;Mardin;  27;  1;  6;  5;  3;  2;  2;  1;  2;  1;  1;  1;  2;0;0;;
2023;Mugla;  76;0;  2;  4;  10;  7;  14;  7;  2;  6;  6;  3;  2;  5;  8;;
2023;Muş;  22;  1;  6;  7;  5;  2;  1;0;0;0;0;0;0;0;0;;
2023;Nevşehir;  20;0;  2;  4;  4;  3;0;  1;  3;0;  1;0;  2;0;0;;
2023;Nigde;  14;0;  4;  2;  2;  1;  3;0;  1;  1;0;0;0;0;0;;
2023;Ordu;  39;0;  7;  7;  4;  2;  2;  3;  2;  1;  7;  1;  1;  1;  1;;
2023;Rize;  11;  1;  1;  2;  2;0;  2;  1;  1;0;  1;0;0;0;0;;
2023;Sakarya;  33;0;  4;  4;  4;  7;  4;  3;  1;  1;0;0;  3;  1;  1;;
2023;Samsun;  70;  2;  5;  8;  10;  9;  4;  8;  4;  4;  5;  3;  3;  1;  4;;
2023;Siirt;  11;0;  2;  2;0;  3;  2;0;  1;0;0;  1;0;0;0;;
2023;Sinop;  13;0;  1;0;0;  3;  2;  2;  1;0;  1;  2;0;0;  1;;
2023;Sivas;  33;  1;  2;  4;  2;  3;  7;0;  1;  2;  2;  4;  1;  2;  2;;
2023;Tekirdag;  67;  1;  3;  4;  11;  6;  7;  13;  5;  4;  3;  2;  2;  4;  2;;
2023;Tokat;  24;0;  2;  2;  5;  1;  5;  2;  2;  1;  1;  1;  1;0;  1;;
2023;Trabzon;  21;  1;  4;  2;  1;0;  1;  4;  1;  3;  1;  1;0;  1;  1;;
2023;Tunceli;  4;0;0;  1;0;0;0;0;  2;0;0;  1;0;0;0;;
2023;Şanliurfa;  71;  4;  11;  19;  11;  11;  6;  2;0;0;  1;  3;0;0;  3;;
2023;Uşak;  22;0;  2;  3;  1;  1;  2;  3;  2;  1;  1;  2;  1;  1;  2;;
2023;Van;  51;  2;  9;  8;  10;  6;  2;  3;  3;0;0;  4;  1;  2;  1;;
2023;Yozgat;  23;0;  4;  3;  1;  3;  2;  3;  2;  1;  2;0;  1;0;  1;;
2023;Zonguldak;  27;0;  3;  4;  7;  3;  2;  1;  3;0;0;  2;0;  1;  1;;
2023;Aksaray;  23;0;  1;  2;  4;  2;  4;  4;  2;  1;0;  1;  1;  1;0;;
2023;Bayburt;  2;0;0;  1;0;0;0;0;0;0;0;0;  1;0;0;;
2023;Karaman;  16;0;  1;  1;  5;0;0;  1;  2;  2;  2;  1;0;  1;0;;
2023;Kirikkale;  21;0;  1;  1;  2;  2;  4;  2;  3;  1;  3;  1;0;0;  1;;
2023;Batman;  27;  4;  6;  5;  2;  1;  1;  3;  2;0;  1;  1;0;0;  1;;
2023;Şirnak;  18;  1;  4;  3;  6;  2;0;  2;0;0;0;0;0;0;0;;
2023;Bartin ;  13;0;0;  2;  1;  2;  5;  1;0;  1;0;0;0;  1;0;;
2023;Ardahan;  8;0;0;0;  1;  2;  2;  1;0;  1;0;0;0;0;  1;;
2023;igdir;  10;0;0;  1;  1;0;  1;  1;  2;  1;  1;0;  1;0;  1;;
2023;Yalova;  12;0;  1;  2;  2;  3;  1;  1;  1;0;0;0;  1;0;0;;
2023;Karabuk;  10;0;0;  2;0;  1;  2;0;  1;  2;0;0;0;  1;  1;;
2023;Kilis ;  3;0;0;0;  1;  1;0;0;0;0;0;  1;0;0;0;;
2023;Osmaniye;  30;0;  3;  2;  4;  6;  3;  2;  2;  2;  3;  2;0;  1;0;;
2023;Duzce;  8;0;0;  1;  1;  3;0;0;  1;  1;0;0;  1;0;0;;
2022;Turkiye; 4 218;  83;  417;  560;  570;  464;  408;  382;  265;  246;  207;  178;  148;  114;  176;;
2022;Adana;  132;  3;  12;  21;  19;  16;  10;  15;  7;  4;  5;  7;  5;  3;  5;;
2022;Adiyaman;  40;0;  9;  5;  5;  4;  5;  4;  2;0;  2;  2;0;  1;  1;;
2022;Afyonkarahisar;  41;  3;  5;  4;  4;  3;  4;  7;  1;  1;  1;  2;  4;  1;  1;;
2022;Agri;  18;  1;  4;  5;  1;  2;0;0;  3;  1;0;0;0;  1;0;;
2022;Amasya;  11;0;  1;0;  2;  2;  1;  1;0;  2;  1;0;  1;0;0;;
