"Yil
Year";"Il
Province";"Toplam
Total";Yas grubu Age group;;;;;;;;;;;;;;;
2018;Mersin;  77;  1;  8;  7;  5;  8;  9;  9;  3;  7;  3;  7;  3;  2;  5;;
2018;İstanbul;  553;  6;  34;  54;  78;  67;  73;  57;  42;  38;  34;  15;  20;  13;  22;;
2018;İzmir;  235;  3;  13;  30;  19;  23;  21;  23;  24;  15;  19;  13;  10;  8;  14;;
2018;Kars;  14;0;  2;  1;  2;  1;0;0;  2;  1;0;  3;  1;0;  1;;
2018;Kastamonu;  18;0;  1;  1;  3;  1;  1;  2;  1;  1;  1;  1;0;0;  5;;
2018;Kayseri;  81;  2;  8;  7;  14;  6;  12;  6;  4;  3;  5;  7;  1;0;  6;;
2018;Kirklareli;  21;  1;  2;  2;  2;  1;  1;0;  1;  2;  1;  2;  3;  1;  2;;
2018;Kirşehir;  14;0;  2;  1;  1;0;  2;  1;  4;0;  2;0;0;  1;0;;
2018;Kocaeli;  50;  1;  5;  3;  3;  4;  7;  10;  6;  4;  3;  1;0;  1;  2;;
2018;Konya;  97;  3;  6;  9;  14;  5;  13;  11;  8;  7;  6;  4;  4;  2;  5;;
2018;Kutahya;  22;  1;  1;  3;  2;  1;  1;  1;  2;  1;0;  4;0;0;  5;;
2018;Malatya;  25;0;  3;  5;  2;  4;  1;0;0;  4;  1;  3;  2;0;0;;
2018;Manisa;  71;  1;  5;  5;  4;  6;  5;  5;  9;  3;  4;  7;  2;  6;  9;;
2018;Kahramanmaraş;  42;0;  4;  3;  7;  9;  5;  3;  5;  1;  1;0;  1;  2;  1;;
2018;Mardin;  23;  1;  8;  1;  4;  4;0;  1;  1;0;  2;  1;0;0;0;;
2018;Mugla;  76;0;  5;  5;  9;  15;  8;  7;  4;  2;  6;  2;  3;  3;  7;;
2018;Muş;  21;  3;  6;  4;0;  2;  2;  1;0;0;  1;  2;0;0;0;;
2018;Nevşehir;  9;0;  2;  1;0;  1;  1;  1;  2;0;0;0;0;  1;0;;
2018;Nigde;  16;0;  5;  2;0;  2;  4;  1;0;0;0;  1;0;  1;0;;
2018;Ordu;  32;0;  2;  1;  1;  3;  2;  4;  3;  3;  4;  5;0;  1;  3;;
2018;Rize;  10;0;0;0;0;  2;0;  3;  2;0;0;  2;0;0;  1;;
2018;Sakarya;  33;0;  3;  2;  3;  3;  4;  3;  1;  4;  1;  4;  1;  2;  2;;
2018;Samsun;  53;  2;  3;  9;  5;  5;  5;  6;  2;  3;  4;  3;  3;  2;  1;;
2018;Siirt;  9;0;  5;  2;0;  1;0;0;0;0;  1;0;0;0;0;;
2018;Sinop;  15;0;  1;0;  2;  2;  1;  1;  1;0;  1;  2;  1;  1;  2;;
2018;Sivas;  40;  1;  7;  3;  4;  7;  2;  2;  3;  2;  2;  3;  2;  2;0;;
2018;Tekirdag;  55;0;0;  6;  5;  4;  5;  5;  10;  4;  4;  5;  5;  2;0;;
2018;Tokat;  33;  3;  6;  3;  2;  3;  3;  1;  2;  1;  1;0;  2;  3;  3;;
2018;Trabzon;  25;  1;  4;  3;  3;  2;  2;  3;  3;0;  2;0;0;  2;0;;
2018;Tunceli;  6;0;0;0;0;  1;  1;0;0;0;0;0;  1;  1;  2;;
2018;Şanliurfa;  59;  1;  20;  12;  6;  1;  5;  2;  4;0;  2;  2;  4;0;0;;
2018;Uşak;  16;0;  1;  2;  2;  1;  2;  1;  1;  2;0;  2;  1;0;  1;;
2018;Van;  50;  3;  11;  7;  13;  5;  2;  1;  4;  3;0;0;  1;0;0;;
2018;Yozgat;  20;0;  3;  2;  1;0;  1;  3;  3;  2;  1;  3;0;  1;0;;
2018;Zonguldak;  27;0;  3;0;  1;  3;  3;  2;  2;  1;0;  3;  3;0;  6;;
2018;Aksaray;  13;  1;0;  3;  1;  2;  1;  1;  2;0;0;  1;0;  1;0;;
2018;Bayburt;  3;0;  1;  1;0;0;  1;0;0;0;0;0;0;0;0;;
2018;Karaman;  15;  1;  2;  4;  2;  1;0;0;  2;  1;  1;  1;0;0;0;;
2018;Kirikkale;  9;  1;0;  1;  1;  1;0;0;  1;  1;  1;  1;0;  1;0;;
2018;Batman;  27;  4;  5;  3;  3;  4;  3;  2;0;  2;0;  1;0;0;0;;
2018;Şirnak;  18;  1;  4;  5;  1;  1;0;  2;0;  1;0;  1;  1;  1;0;;
2018;Bartin ;  10;0;  2;0;0;0;0;0;0;0;0;  4;  2;0;  2;;
2018;Ardahan;  6;0;  2;0;  1;0;0;0;  1;  1;0;0;0;0;  1;;
2018;igdir;  11;0;0;  2;0;  1;  2;  1;0;  3;  2;0;0;0;0;;
2018;Yalova;  9;0;0;0;  3;  1;0;  2;0;0;  1;  1;  1;0;0;;
2018;Karabuk;  10;0;  1;0;  1;0;  3;  1;0;  1;0;  1;  1;0;  1;;
2018;Kilis ;  6;  1;  2;  3;0;0;0;0;0;0;0;0;0;0;0;;
2018;Osmaniye;  9;0;  2;  2;0;  1;  1;0;0;0;0;  2;0;0;  1;;
2018;Duzce;  15;0;0;0;  3;0;  1;  1;0;  2;  3;  1;  2;  1;  1;;
2017;Turkiye; 3 168;  66;  336;  377;  336;  300;  288;  287;  227;  216;  190;  174;  114;  79;  178;;
2017;Adana;  101;  2;  9;  10;  13;  10;  13;  6;  6;  12;  8;  4;  3;  1;  4;;
2017;Adiyaman;  23;  1;  3;  2;  4;0;  1;  1;  1;  3;  2;  2;0;0;  3;;
2017;Afyonkarahisar;  40;  1;  5;  7;  7;  1;  2;  6;0;0;  2;  1;  4;  1;  3;;
2017;Agri;  28;  2;  8;  4;  4;  4;0;  3;  1;0;0;0;0;  1;  1;;
2017;Amasya;  9;0;0;  1;0;0;  2;  1;0;  2;  1;  1;0;0;  1;;
2017;Ankara;  173;  1;  13;  18;  25;  22;  14;  18;  8;  15;  11;  9;  5;  6;  8;;
2017;Antalya;  109;  1;  10;  8;  10;  12;  10;  16;  11;  8;  6;  7;  3;  1;  6;;
2017;Artvin;  6;0;0;0;0;0;0;0;  1;0;0;  1;  2;0;  2;;
2017;Aydin;  60;0;  4;  8;  2;  4;  6;  9;  9;  2;  7;  4;  2;  1;  2;;
2017;Balikesir;  53;  1;  2;  10;  7;  7;  4;  6;  1;  2;  4;  4;0;  3;  2;;
2017;Bilecik;  9;0;0;0;0;0;  1;  1;0;  1;  1;  2;0;  1;  2;;
2017;Bingol;  9;0;  1;0;  1;0;0;  2;0;0;  1;  1;  1;0;  2;;
2017;Bitlis;  13;  2;  4;  2;  2;0;0;  1;0;0;  1;  1;0;0;0;;
2017;Bolu;  8;  1;  2;  1;0;  1;  2;0;0;0;0;0;0;0;  1;;
2017;Burdur;  19;0;  4;  3;  2;0;0;  1;  1;0;  1;  1;  1;  3;  2;;
2017;Bursa;  120;  2;  3;  8;  18;  11;  16;  15;  9;  11;  7;  8;  4;  3;  5;;
2017;canakkale;  31;  1;  2;  2;  2;  1;  4;  4;  3;  4;  2;  2;  1;  1;  2;;
2017;cankiri;  9;0;0;  1;0;0;  1;  1;  2;  1;  2;0;0;0;  1;;
2017;corum;  25;  1;  2;  3;  2;  1;0;  3;  4;  3;  1;  2;0;0;  3;;
2017;Denizli;  49;0;  3;  4;  3;  8;0;  6;  7;  5;  3;  2;  4;  1;  3;;
2017;Diyarbakir;  71;  3;  17;  9;  10;  5;  4;  5;  6;  5;  4;  2;0;0;  1;;
2017;Edirne;  22;0;0;  4;  2;0;  2;  7;  1;0;  2;  1;  1;0;  2;;
2017;Elazig;  23;0;  2;  2;  5;  2;  2;0;  2;0;  2;  1;0;  2;  3;;
2017;Erzincan;  10;0;  1;0;  3;  1;0;  1;0;  1;0;0;0;0;  3;;
2017;Erzurum;  18;0;  5;  1;  1;  1;0;  3;  1;  3;0;  2;0;0;  1;;
2017;Eskişehir;  40;0;  2;  5;  2;  6;  3;  5;  3;  2;  4;  1;  2;  1;  4;;
2017;Gaziantep;  80;  2;  13;  13;  16;  9;  3;  7;  5;  3;  5;  1;0;  1;  2;;
2017;Giresun;  16;0;  2;  3;  1;  2;  3;  2;0;0;  2;0;0;0;  1;;
2017;Gumuşhane;  2;0;0;0;  1;0;  1;0;0;0;0;0;0;0;0;;
2017;Hakkari;  10;  1;  2;  3;0;  2;  1;0;0;0;0;0;0;  1;0;;
2017;Hatay;  44;0;  3;  8;  4;  6;  2;  3;  3;  3;  6;  1;  1;  1;  3;;
2017;isparta;  40;0;  5;  4;  7;  3;  3;  1;  3;  1;  2;  5;  2;0;  4;;
2017;Mersin;  94;  2;  8;  11;  14;  4;  13;  6;  5;  7;  5;  6;  4;  4;  5;;
2017;İstanbul;  504;  9;  30;  61;  61;  64;  60;  44;  37;  39;  23;  27;  20;  13;  16;;
2017;İzmir;  202;  2;  10;  22;  14;  19;  19;  17;  19;  13;  15;  17;  12;  6;  17;;
2017;Kars;  18;0;  6;  1;  2;0;  2;0;  2;  3;0;  2;0;0;0;;
2017;Kastamonu;  18;  1;  3;  1;  3;0;  5;0;  2;0;0;  1;  1;  1;0;;
2017;Kayseri;  65;  2;  12;  3;  6;  7;  3;  7;  7;  5;  4;  5;  1;  1;  2;;
2017;Kirklareli;  17;  1;0;  1;  1;0;  2;  1;  2;  1;  2;0;  4;0;  2;;
2017;Kirşehir;  9;0;  2;0;  1;0;0;  1;  1;0;  1;  2;0;0;  1;;
2017;Kocaeli;  54;  1;  1;  5;  2;  5;  4;  6;  6;  9;  2;  1;  3;  4;  5;;
2017;Konya;  87;  3;  6;  9;  11;  9;  14;  6;  4;  4;  6;  6;  4;  1;  4;;
2017;Kutahya;  24;0;  3;  3;  1;  2;  3;  2;0;  3;  1;  1;0;  1;  4;;
2017;Malatya;  20;0;  2;  1;  2;  5;  2;0;  3;  1;  1;0;  1;  1;  1;;
2017;Manisa;  67;  2;  2;  5;  7;  6;  6;  7;  7;  5;  6;  6;  5;  1;  2;;
2017;Kahramanmaraş;  34;0;  9;  5;  1;  2;  1;  2;  1;  2;  1;  2;  1;0;  7;;
2017;Mardin;  23;  1;  3;  6;  2;  3;  2;  1;  2;0;0;  1;  1;0;  1;;
2017;Mugla;  47;0;  5;  5;  4;  3;  4;  5;  5;  2;  4;  1;  4;  1;  4;;
2017;Muş;  22;  1;  7;  4;  1;  3;  1;  1;0;  2;  1;  1;0;0;0;;
2017;Nevşehir;  9;0;  1;  2;  2;  1;0;  1;  1;0;0;  1;0;0;0;;
2017;Nigde;  14;0;  2;0;  2;  1;  3;  1;  1;  1;0;  1;  1;  1;0;;
2017;Ordu;  20;0;  3;  1;  2;  3;  1;  1;  1;  3;0;  1;  1;  1;  2;;
2017;Rize;  11;0;0;  3;0;  1;  2;0;  1;0;  2;0;0;0;  2;;
2017;Sakarya;  24;0;  3;  1;  1;  2;  2;  1;  2;  4;  1;  2;  2;  2;  1;;
2017;Samsun;  51;  2;  11;  5;  5;  5;  3;  4;  3;  3;  3;  4;0;  2;  1;;
2017;Siirt;  13;  1;  3;  6;  1;  1;0;  1;0;0;0;0;0;0;0;;
2017;Sinop;  7;  2;0;  1;0;0;  2;  1;0;0;0;0;0;  1;0;;
2017;Sivas;  33;  2;  5;  3;0;  2;  4;  2;  4;  2;  2;  4;  1;0;  2;;
2017;Tekirdag;  32;  1;0;  2;  1;  3;  2;  5;  4;  3;  3;  3;0;  1;  4;;
2017;Tokat;  30;0;  4;  6;  3;  3;  3;  3;  2;  1;  1;0;0;  1;  3;;
2017;Trabzon;  37;0;  3;  9;  1;  5;  4;  2;  1;  2;  3;  1;  4;  1;  1;;
2017;Tunceli;  7;0;0;  1;0;  1;0;  1;0;0;  1;  2;0;0;  1;;
2017;Şanliurfa;  61;  1;  15;  11;  10;  4;  3;  5;  1;  2;  2;  2;0;  1;  4;;
2017;Uşak;  12;0;  2;  2;  2;  2;0;0;0;0;0;  1;  2;0;  1;;
2017;Van;  48;  5;  13;  10;  6;  5;  3;  1;  1;0;  1;  1;  1;0;  1;;
2017;Yozgat;  18;  1;  3;  2;  1;  1;  1;  1;  1;  3;  2;  1;0;0;  1;;
2017;Zonguldak;  12;  1;  1;0;0;  2;  2;  4;0;0;  1;  1;0;0;0;;
2017;Aksaray;  13;0;  1;  4;  1;0;0;0;  3;  2;0;0;0;  1;  1;;
2017;Bayburt;  ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
2017;Karaman;  13;0;  5;0;0;  2;0;  1;  2;  1;0;  1;0;0;  1;;
2017;Kirikkale;  14;0;  2;  1;0;  1;  2;  1;  2;  1;  1;  2;  1;0;0;;
2017;Batman;  11;0;  2;  3;  2;0;  1;0;0;0;  1;  1;0;  1;0;;
2017;Şirnak;  21;  2;  6;  6;  2;  1;  3;  1;0;0;0;0;0;0;0;;
2017;Bartin ;  12;0;  1;  2;0;  1;  1;  2;0;  1;  3;0;  1;0;0;;
2017;Ardahan;  7;0;  2;0;  1;0;0;0;  1;0;0;0;  2;  1;0;;
2017;igdir;  9;0;  3;  1;  2;0;0;0;0;  1;0;0;0;  2;0;;
2017;Yalova;  7;0;0;  2;  1;0;0;0;  1;0;  3;0;0;0;0;;
2017;Karabuk;  8;0;  1;0;0;0;  1;  3;0;0;0;0;0;0;  3;;
2017;Kilis ;  7;0;  2;0;  1;0;  2;  1;  1;0;0;0;0;0;0;;
2017;Osmaniye;  19;  1;  4;  4;  1;  1;  2;  1;  1;  2;  1;0;0;0;  1;;
2017;Duzce;  13;0;  2;  2;  1;  1;0;  3;  2;  1;0;0;  1;0;0;;
2016;Turkiye; 3 193;  81;  335;  355;  353;  323;  277;  297;  246;  223;  189;  139;  102;  90;  181;;
2016;Adana;  111;  5;  19;  12;  12;  10;  9;  7;  15;  10;  6;  3;  3;0;0;;
2016;Adiyaman;  13;0;  1;  1;  1;  2;  2;  1;0;  1;  1;0;0;  1;  2;;
2016;Afyonkarahisar;  44;0;  4;  5;  3;  4;  4;  1;  8;  5;  3;  1;0;  2;  4;;
2016;Agri;  29;  5;  10;  5;  4;  1;0;  1;0;0;0;  1;  1;  1;0;;
2016;Amasya;  7;0;0;  1;0;  2;  1;0;  1;0;0;  2;0;0;0;;
2016;Ankara;  173;  2;  14;  23;  14;  22;  19;  23;  15;  13;  13;  7;  2;  4;  2;;
2016;Antalya;  88;  1;  4;  9;  13;  16;  7;  9;  3;  7;  4;  7;  1;  3;  4;;
2016;Artvin;  3;0;0;  1;0;0;0;0;  1;0;0;0;0;0;  1;;
2016;Aydin;  80;  1;  5;  9;  7;  9;  10;  5;  5;  3;  1;  12;  5;  1;  7;;
2016;Balikesir;  67;0;  3;  6;  3;  4;  5;  7;  6;  7;  9;  3;  2;  5;  7;;
2016;Bilecik;  13;0;  1;0;  4;0;  1;  2;0;  3;0;  1;0;0;  1;;
2016;Bingol;  10;0;  5;  2;  1;  1;0;0;0;  1;0;0;0;0;0;;
2016;Bitlis;  5;0;  3;  1;  1;0;0;0;0;0;0;0;0;0;0;;
2016;Bolu;  11;0;  1;  1;  3;0;  1;0;0;  1;0;  1;0;0;  3;;
2016;Burdur;  22;0;  3;  1;  3;  1;  1;  1;  1;  3;  1;  1;  2;  1;  3;;
2016;Bursa;  140;  1;  8;  11;  14;  15;  15;  18;  12;  8;  14;  3;  9;  4;  8;;
2016;canakkale;  26;0;  2;0;  4;  1;  3;  2;  3;0;  1;  3;  1;  3;  3;;
2016;cankiri;  7;0;  1;  1;0;0;0;  1;0;  3;0;0;0;0;  1;;
2016;corum;  24;0;  2;  1;  1;0;  1;  6;  2;  3;  3;  1;  1;  1;  2;;
2016;Denizli;  63;  3;  6;  4;  5;  10;  4;  8;  3;  5;  7;  1;  1;  1;  5;;
2016;Diyarbakir;  67;  6;  22;  9;  8;  6;  5;  1;  3;  1;  1;  1;  2;  1;  1;;
2016;Edirne;  32;0;  1;  3;  1;  2;  4;  9;  1;  3;  2;  2;  2;  1;  1;;
2016;Elazig;  27;0;  1;  4;  4;  2;  2;0;  5;  2;0;  3;  1;  2;  1;;
2016;Erzincan;  8;0;0;  1;  1;0;  1;  2;0;0;  1;0;  2;0;0;;
2016;Erzurum;  32;  2;  5;  9;  2;  2;  4;  3;  3;0;  1;0;0;  1;0;;
2016;Eskişehir;  46;0;0;  5;  6;  5;  5;  3;  6;  4;  2;  4;  2;  1;  2;;
2016;Gaziantep;  77;  2;  19;  10;  14;  10;  5;  4;  5;  1;  3;  1;0;0;  3;;
2016;Giresun;  10;0;  1;0;  2;  1;  1;0;0;  1;  2;0;  2;0;0;;
2016;Gumuşhane;  2;0;  1;0;0;0;  1;0;0;0;0;0;0;0;0;;
2016;Hakkari;  9;0;0;  3;  4;0;0;0;0;0;0;0;  1;  1;0;;
2016;Hatay;  43;  1;  5;  5;  10;  5;  2;  5;  3;  2;0;  1;  1;  2;  1;;
2016;isparta;  15;0;  2;  1;  2;  2;  1;  1;  2;0;0;0;  1;0;  3;;
2016;Mersin;  82;  3;  10;  6;  8;  13;  13;  6;  3;  7;  2;  2;  4;  3;  2;;
2016;İstanbul;  462;  4;  30;  54;  62;  56;  53;  49;  40;  24;  29;  14;  15;  7;  24;;
2016;İzmir;  230;  3;  13;  21;  29;  23;  16;  20;  11;  17;  24;  18;  8;  11;  16;;
2016;Kars;  11;  1;  2;  1;0;  1;  1;  1;  1;  1;  1;0;0;  1;0;;
2016;Kastamonu;  18;0;  2;  2;  2;  1;0;  3;  1;  2;0;  1;0;  1;  3;;
2016;Kayseri;  86;  1;  10;  11;  10;  7;  9;  9;  8;  6;  5;  1;  2;  2;  5;;
2016;Kirklareli;  13;0;0;  1;  1;0;  1;  3;  3;  1;  1;0;0;0;  2;;
2016;Kirşehir;  7;0;0;0;  1;  1;0;  2;  1;0;  1;0;0;0;  1;;
2016;Kocaeli;  67;0;  2;  6;  10;  10;  9;  6;  5;  5;  2;  5;  4;0;  3;;
2016;Konya;  92;  6;  9;  12;  8;  9;  4;  7;  8;  10;  5;  3;  5;  1;  5;;
2016;Kutahya;  22;0;0;0;0;  4;  2;  2;  3;0;  4;  1;  1;  1;  4;;
2016;Malatya;  28;0;  3;  4;  6;  1;0;  5;  1;  2;  1;  1;  1;  1;  2;;
2016;Manisa;  53;  2;  4;  4;  4;  4;  4;  2;  7;  7;  5;  4;  1;  2;  3;;
2016;Kahramanmaraş;  39;  4;  8;  6;  4;  4;  2;  3;  1;0;  1;  1;  1;  3;  1;;
2016;Mardin;  22;  1;  1;  8;  3;  2;  2;  1;  2;  1;  1;0;0;0;0;;
2016;Mugla;  52;  1;  3;  3;  3;  3;  6;  6;  5;  6;  3;  2;  2;  5;  4;;
2016;Muş;  24;  5;  6;  7;  1;  2;0;0;  1;0;0;0;  1;  1;0;;
2016;Nevşehir;  12;0;  3;0;  2;  1;0;0;  1;  3;  1;  1;0;0;0;;
2016;Nigde;  22;0;  1;  4;  4;  1;  3;  3;  2;  1;0;  1;  1;  1;0;;
2016;Ordu;  21;0;  2;  1;0;  2;  3;  2;  1;  2;  2;  1;0;  2;  3;;
2016;Rize;  4;0;0;0;0;0;0;  1;0;0;0;  2;0;0;  1;;
2016;Sakarya;  21;0;  2;  1;  4;  1;  1;  3;  4;  1;  1;0;  1;0;  2;;
2016;Samsun;  55;  2;  9;  3;  4;  5;  4;  6;  2;  5;  3;  4;  3;  2;  3;;
2016;Siirt;  10;0;  4;0;0;  3;0;  1;0;  1;  1;0;0;0;0;;
2016;Sinop;  14;  1;  1;  1;  2;  2;0;0;0;  1;  2;0;  1;0;  3;;
2016;Sivas;  22;0;  3;  1;0;  4;  2;  2;  5;0;  2;0;0;0;  3;;
2016;Tekirdag;  39;0;  2;  4;  6;  2;  4;  4;  2;  4;  2;  2;  2;  1;  4;;
2016;Tokat;  21;  2;  1;0;  2;  3;  6;  2;0;  2;0;  1;0;0;  2;;
2016;Trabzon;  31;  1;  4;  4;  1;  2;  3;  6;  4;  2;  1;  1;0;0;  2;;
2016;Tunceli;  9;0;0;  1;  1;  1;0;  1;0;  1;0;0;  1;0;  3;;
2016;Şanliurfa;  42;  4;  9;  8;  3;  4;  2;  2;  3;  2;  2;0;  1;0;  2;;
2016;Uşak;  17;0;  2;  3;  2;  1;  1;  2;0;  3;  1;0;0;  1;  1;;
2016;Van;  49;  6;  13;  9;  6;  3;  2;  1;  2;  3;  2;  2;0;0;0;;
2016;Yozgat;  10;  1;  1;  1;0;0;0;0;  1;  1;  2;  1;0;  1;  1;;
2016;Zonguldak;  23;0;  2;  5;  1;  1;0;0;  3;  6;0;  1;0;  1;  3;;
2016;Aksaray;  12;  1;  2;0;  1;  1;0;  1;  5;  1;0;0;0;0;0;;
2016;Bayburt;  1;0;0;0;0;  1;0;0;0;0;0;0;0;0;0;;
2016;Karaman;  11;  1;0;  2;  1;  1;  1;  1;  1;  1;0;  1;0;0;  1;;
2016;Kirikkale;  7;0;0;0;0;0;  1;  2;0;  1;  2;0;0;0;  1;;
2016;Batman;  16;0;  4;  3;  2;  1;0;  1;  2;  2;  1;0;0;0;0;;
2016;Şirnak;  11;0;  5;  3;0;  1;0;  1;  1;0;0;0;0;0;0;;
2016;Bartin ;  9;0;0;0;  1;0;0;0;0;  1;0;  1;  2;  2;  2;;
2016;Ardahan;  9;  1;0;  1;  2;0;  1;  1;0;0;  1;  1;0;0;  1;;
2016;igdir;  8;0;  1;  2;0;  2;  1;  1;0;0;0;0;0;  1;0;;
2016;Yalova;  5;0;0;  1;  1;0;  1;0;  2;0;0;0;0;0;0;;
2016;Karabuk;  8;0;  1;0;  1;  1;  1;  1;0;0;  1;0;  1;0;  1;;
2016;Kilis ;  10;  1;  2;  1;  2;  1;0;  2;0;  1;0;0;0;0;0;;
2016;Osmaniye;  39;0;  8;  6;  3;  2;  3;  3;  1;  2;  1;  5;  1;  2;  2;;
2016;Duzce;  13;0;  1;0;  2;  2;  1;  2;0;0;  1;  2;  1;  1;0;;
2015;Turkiye; 3 246;  83;  338;  415;  356;  314;  276;  258;  239;  220;  217;  142;  129;  68;  180;;
2015;Adana;  97;  3;  14;  7;  10;  8;  13;  10;  9;  6;  3;  5;  4;  3;  2;;
2015;Adiyaman;  23;  1;  3;  2;  5;  1;  3;  2;  1;  3;  1;0;  1;0;0;;
2015;Afyonkarahisar;  38;  2;  5;  4;  4;  1;  4;  2;  2;  1;  3;  3;  3;0;  4;;
2015;Agri;  30;  3;  7;  8;  2;  3;  1;  1;  1;  1;0;  2;0;0;  1;;
2015;Amasya;  12;0;0;  1;0;  3;  3;  2;0;0;0;  1;0;0;  2;;
2015;Ankara;  227;  1;  16;  18;  27;  29;  18;  24;  20;  9;  21;  10;  9;  9;  16;;
2015;Antalya;  105;  1;  4;  14;  5;  10;  15;  7;  16;  11;  2;  3;  5;  3;  9;;
2015;Artvin;  9;0;0;  3;0;0;0;  2;0;0;  2;0;  1;0;  1;;
2015;Aydin;  66;  2;  5;  3;  2;  7;  8;  9;  3;  3;  5;  7;  3;  1;  8;;
2015;Balikesir;  58;  1;  4;  7;  3;  5;  4;  3;  5;  6;  7;  4;  2;  3;  4;;
2015;Bilecik;  13;0;  1;  1;  1;  1;  2;  2;  2;  2;0;0;  1;0;0;;
2015;Bingol;  18;  1;  2;  2;  4;  1;  3;  1;  1;0;0;  1;0;  1;  1;;
2015;Bitlis;  12;  2;  4;  4;0;  2;0;0;0;0;0;0;0;0;0;;
2015;Bolu;  13;0;0;  1;  1;  1;  1;  1;  2;  1;  1;0;  3;  1;0;;
2015;Burdur;  16;0;  2;  1;  1;  2;  3;  1;  1;0;  2;  1;  1;0;  1;;
2015;Bursa;  130;  1;  8;  13;  18;  15;  7;  15;  10;  14;  12;  5;  5;  3;  4;;
2015;canakkale;  30;0;  2;  1;  3;  1;  5;  3;  5;  1;  1;  1;  4;  1;  2;;
2015;cankiri;  2;0;0;  1;0;  1;0;0;0;0;0;0;0;0;0;;
2015;corum;  22;0;  1;  4;  2;  2;  2;  1;  1;0;  1;  3;  1;0;  4;;
2015;Denizli;  50;0;  3;  6;  4;  9;  10;  1;  3;  8;  3;0;  1;0;  2;;
2015;Diyarbakir;  82;  10;  21;  16;  10;  4;  2;  3;  5;  3;  2;  2;  3;0;  1;;
2015;Edirne;  26;0;0;  4;  1;  1;  4;  2;  1;0;  4;  2;  2;0;  5;;
2015;Elazig;  25;0;  2;  6;  1;  2;  2;  2;  3;  1;  2;  2;0;0;  2;;
2015;Erzincan;  10;0;0;  3;0;  1;0;  1;  1;  1;  2;  1;0;0;0;;
2015;Erzurum;  33;  5;  5;  5;  5;0;  2;  3;0;  1;0;  2;  1;  2;0;;
2015;Eskişehir;  54;0;  3;  2;  5;  7;  6;  2;  7;  4;  3;  4;  5;  2;  4;;
2015;Gaziantep;  80;  2;  15;  10;  8;  3;  9;  5;  7;  5;  4;  5;  1;  2;  2;;
2015;Giresun;  14;0;  2;  1;  2;  1;  3;0;0;0;  3;  1;  1;0;0;;
2015;Gumuşhane;  3;0;  1;  1;0;0;  1;0;0;0;0;0;0;0;0;;
2015;Hakkari;  11;0;  3;  2;  1;0;  1;  2;  2;0;0;0;0;0;0;;
2015;Hatay;  42;  2;  4;  10;  3;  4;  2;  3;  3;  6;  1;  2;0;0;0;;
2015;isparta;  18;0;  3;  1;  3;  1;0;  1;  1;  1;  2;  1;  1;0;  3;;
2015;Mersin;  101;  5;  12;  11;  9;  6;  10;  7;  4;  5;  8;  6;  7;  3;  8;;
2015;İstanbul;  432;  8;  28;  44;  52;  66;  40;  36;  42;  31;  27;  19;  11;  11;  14;;
2015;İzmir;  203;  3;  10;  21;  28;  16;  19;  10;  15;  18;  20;  14;  10;  4;  15;;
2015;Kars;  27;  2;  6;  3;  3;  2;0;  2;  2;  3;  2;0;  1;0;  1;;
2015;Kastamonu;  16;0;  1;  1;  3;  1;  1;  1;  3;  2;0;0;  1;  2;0;;
2015;Kayseri;  58;  2;  3;  5;  10;  7;  9;  6;  1;  3;  3;  1;  2;  1;  4;;
2015;Kirklareli;  17;0;0;0;  1;0;0;  4;  2;  2;  2;  2;  1;  1;  2;;
2015;Kirşehir;  9;0;  2;0;0;  1;  1;  1;  1;0;0;0;  1;0;  2;;
2015;Kocaeli;  52;0;  3;  8;  8;  6;  2;  6;  3;  3;  4;  1;  4;  1;  3;;
2015;Konya;  103;  3;  11;  22;  7;  12;  3;  10;  7;  11;  9;  2;  3;0;  3;;
2015;Kutahya;  20;0;  1;  4;  2;0;0;  2;  3;  2;  1;  2;  1;  1;  1;;
2015;Malatya;  31;  1;  3;  8;  4;  3;  1;  3;0;0;  1;  1;  3;  1;  2;;
2015;Manisa;  67;  1;  13;  10;  9;  8;  4;  3;  1;  2;  4;  4;  3;  1;  4;;
2015;Kahramanmaraş;  32;  3;  6;  3;  2;  4;  1;  5;  1;  1;  2;0;  1;  1;  2;;
2015;Mardin;  29;  1;  8;  12;  1;  3;0;0;  2;0;  1;0;  1;0;0;;
2015;Mugla;  53;0;  4;  4;  4;  6;  4;  6;  6;  5;  6;0;  2;  2;  4;;
2015;Muş;  25;  2;  6;  9;  2;  2;0;0;  1;0;  1;  1;  1;0;0;;
2015;Nevşehir;  11;0;  1;0;  1;  2;  2;  1;0;0;0;0;  1;  1;  1;;
2015;Nigde;  14;  1;  3;0;  2;  1;0;  2;  1;0;  2;0;  1;0;  1;;
2015;Ordu;  24;0;  1;  2;  3;  2;  2;  3;  1;  1;  4;0;  1;0;  4;;
2015;Rize;  4;0;  1;0;0;  1;0;  1;0;0;  1;0;0;0;0;;
2015;Sakarya;  22;0;  1;  3;  4;  3;  1;  3;  1;  1;  2;  2;  1;0;0;;
2015;Samsun;  52;  1;  3;  7;  6;0;  5;  4;  3;  4;  5;  5;  2;0;  7;;
2015;Siirt;  12;0;  2;  2;  3;  2;0;  1;0;0;  1;0;  1;0;0;;
2015;Sinop;  9;0;  1;0;  1;0;  2;0;0;0;  1;0;0;0;  4;;
